AssetCode,MonthID,ActualAmount,BudgetAmount
legpt77084,202403,318659.53,315205.56
esttaara80234,202405,841504.99,875616.38
vizcbre77084,202408,438963.39,422188.51
corpp85306,202412,574142.32,553106.47
cortm83642,202412,585024.31,583692.45
wrenn28216,202502,449397.93,457851.02
puret78261,202502,553946.43,582725.53
coruptala32701,202402,555228.08,566017.22
brook43068,202502,265694.04,257620.95
citfoef80021,202409,447673.09,476178.21
praircv75080,202406,881589.45,923526.16
coruptala32701,202408,583736.75,609687.51
arbsbre27713,202409,463915.07,487964.53
corar78759,202401,546619.00,534324.95
copscbre77041,202408,545731.47,519639.20
porpgs233409,202412,804689.93,824326.70
cords33442,202407,515332.35,507494.62
corpc30342,202407,297027.79,306246.10
attp77581,202410,204424.00,201579.21
coraddass30350,202401,305807.71,326406.86
vishccbre75063,202410,761773.08,788461.81
parlcbre33615,202401,396457.43,392793.48
allllbre32714,202406,949668.40,945855.24
corasRH75002,202406,786569.78,800173.69
attp77581,202404,200958.38,199786.81
corri33578,202402,359273.36,421122.57
retbcbre33510,202501,594777.75,589110.45
presahB75093,202411,584063.31,590746.90
vers32771,202503,590435.88,579376.40
cornona32832,202503,739590.26,751971.76
watbre278748,202401,502691.30,506865.54
kinco33186,202403,1005989.22,999236.90
purlv75039,202411,543979.53,573381.68
vizcbre77084,202405,433762.90,426861.98
virbre30033,202410,763168.99,730856.11
presahB75093,202408,594465.04,583556.14
corar78759,202404,545791.06,542149.40
copscbre77041,202411,534673.18,519230.50
citfoef80021,202412,442004.33,473787.92
corpp85306,202409,621792.40,569599.51
corsf33619,202402,584406.27,578323.56
corprovitp76015,202410,772642.92,760374.91
bat3b30339,202503,172800.27,180602.68
coruptala32701,202405,547673.42,588786.33
corrn160654,202406,508058.72,502639.19
colpo80206,202501,352636.11,352636.11
praircv75080,202409,849715.54,927355.56
praircv75080,202403,872390.11,908876.14
jeflbre230062,202502,512566.67,540838.48
ves35205,202409,510987.34,571182.51
corsc85750,202407,254363.87,261298.30
garvbre75287,202408,761975.96,780576.21
